Date,Symbol,Open,High,Low,Close,Volume
2023-01-03,ANSS,245.27000427246094,248.1300048828125,235.6999969482422,238.63999938964844,485100
2023-01-04,ANSS,242.38999938964844,246.67999267578125,239.47000122070312,242.94000244140625,487900
2023-01-05,ANSS,239.32000732421875,240.41000366210938,230.94000244140625,231.64999389648438,561000
2023-01-06,ANSS,234.77999877929688,241.1300048828125,230.0,239.41000366210938,364000
2023-01-09,ANSS,241.97000122070312,253.5500030517578,241.39999389648438,247.99000549316406,425600
2023-01-10,ANSS,247.61000061035156,249.99000549316406,244.80999755859375,248.39999389648438,307700
2023-01-11,ANSS,249.89999389648438,252.75,247.1699981689453,252.16000366210938,390100
2023-01-12,ANSS,252.41000366210938,253.33999633789062,248.8000030517578,251.97000122070312,376000
2023-01-13,ANSS,249.0,254.25,248.5500030517578,254.10000610351562,319400
2023-01-17,ANSS,254.05999755859375,257.45001220703125,252.3300018310547,252.67999267578125,469000
2023-01-18,ANSS,255.63999938964844,258.8599853515625,251.16000366210938,251.66000366210938,505000
2023-01-19,ANSS,249.3699951171875,252.6699981689453,248.22000122070312,248.39999389648438,334100
2023-01-20,ANSS,248.08999633789062,257.3699951171875,248.0,256.4200134277344,384100
2023-01-23,ANSS,256.44000244140625,262.4599914550781,255.17999267578125,260.7900085449219,385400
2023-01-24,ANSS,260.5,261.989990234375,256.4100036621094,257.6000061035156,227200
2023-01-25,ANSS,252.8699951171875,260.3800048828125,249.7899932861328,260.0299987792969,317100
2023-01-26,ANSS,263.3800048828125,267.69000244140625,261.57000732421875,266.5799865722656,556400
2023-01-27,ANSS,263.8699951171875,268.3599853515625,261.9800109863281,266.6700134277344,406700
2023-01-30,ANSS,262.19000244140625,265.7300109863281,261.010009765625,261.55999755859375,331800
2023-01-31,ANSS,261.79998779296875,266.8699951171875,260.8500061035156,266.3599853515625,410400
2023-02-01,ANSS,265.4599914550781,276.4599914550781,263.8399963378906,274.3900146484375,490300
2023-02-02,ANSS,278.5,284.7900085449219,277.0400085449219,282.5,560600
2023-02-03,ANSS,276.1099853515625,279.82000732421875,273.2200012207031,275.2300109863281,376400
2023-02-06,ANSS,271.4599914550781,274.82000732421875,270.2200012207031,272.42999267578125,245900
2023-02-07,ANSS,270.8500061035156,278.45001220703125,269.3599853515625,277.0899963378906,318700
2023-02-08,ANSS,276.5400085449219,277.7200012207031,271.1300048828125,272.3599853515625,324300
2023-02-09,ANSS,276.17999267578125,278.989990234375,269.3999938964844,271.4200134277344,527900
2023-02-10,ANSS,267.6300048828125,269.0799865722656,264.92999267578125,267.0400085449219,256900
2023-02-13,ANSS,268.7200012207031,273.010009765625,267.6000061035156,272.760009765625,375600
2023-02-14,ANSS,271.6600036621094,276.3699951171875,269.239990234375,274.2799987792969,409800
2023-02-15,ANSS,271.9800109863281,278.1700134277344,270.0199890136719,277.8999938964844,365400
2023-02-16,ANSS,271.5199890136719,276.1099853515625,269.5899963378906,273.239990234375,425400
2023-02-17,ANSS,270.760009765625,271.25,267.5799865722656,270.760009765625,358800
2023-02-21,ANSS,266.8800048828125,268.44000244140625,263.7799987792969,265.80999755859375,506900
2023-02-22,ANSS,267.30999755859375,269.79998779296875,265.8699951171875,266.7799987792969,537600
2023-02-23,ANSS,291.5,299.95001220703125,289.6099853515625,294.75,1282600
2023-02-24,ANSS,289.7799987792969,293.80999755859375,288.2200012207031,291.3399963378906,987600
2023-02-27,ANSS,294.6499938964844,297.489990234375,292.2799987792969,295.67999267578125,697200
2023-02-28,ANSS,294.70001220703125,307.260009765625,294.70001220703125,303.6099853515625,1008200
2023-03-01,ANSS,302.45001220703125,303.8699951171875,298.6099853515625,299.20001220703125,557500
2023-03-02,ANSS,298.1099853515625,309.20001220703125,297.989990234375,307.5,557500
2023-03-03,ANSS,308.8299865722656,312.6600036621094,307.5400085449219,310.3699951171875,635100
2023-03-06,ANSS,310.8599853515625,312.1600036621094,308.1700134277344,308.70001220703125,599900
2023-03-07,ANSS,308.739990234375,309.25,300.510009765625,301.30999755859375,870000
2023-03-08,ANSS,301.260009765625,304.5299987792969,299.9700012207031,302.6300048828125,516300
2023-03-09,ANSS,304.9700012207031,306.45001220703125,299.8299865722656,300.2200012207031,542400
2023-03-10,ANSS,300.0199890136719,301.489990234375,292.9700012207031,296.0299987792969,495500
2023-03-13,ANSS,293.1000061035156,305.1199951171875,290.92999267578125,302.75,798100
2023-03-14,ANSS,304.7300109863281,309.8800048828125,302.760009765625,308.29998779296875,684500
2023-03-15,ANSS,305.0,309.6499938964844,301.8399963378906,308.9599914550781,895800
2023-03-16,ANSS,307.92999267578125,315.45001220703125,307.32000732421875,314.0799865722656,634300
2023-03-17,ANSS,314.0799865722656,316.4800109863281,310.489990234375,311.0899963378906,1048700
2023-03-20,ANSS,312.239990234375,313.9700012207031,308.9800109863281,313.6000061035156,583500
